Month,Year,Frequency,Kitchen,Negligence,Electrical,Arson,Wildfire,Others,Buildings,Workshop-Factory,Warehouse,Dead,Injury,Displaced,Animals,Value
Jan,2020,195,37,73,45,23,10,7,335,2,5,16,33,377,1150,1186457700
Feb,2020,303,60,100,78,35,26,4,566,2,8,14,21,1189,25,516421300
Mar,2020,361,69,110,71,47,54,10,822,4,7,8,33,977,1100,823544300
April,2020,273,51,82,47,34,54,5,310,0,14,5,20,616,6616,250282800
May,2020,221,41,72,53,30,16,9,337,2,9,3,8,1105,506,2903441100
June,2020,104,18,26,36,16,1,7,93,1,2,7,3,160,0,124299700
July,2020,122,15,46,43,14,0,4,87,1,7,5,15,164,1,135396300
Aug,2020,87,12,28,26,17,0,4,69,0,1,2,17,349,0,144427700
Sep,2020,94,18,30,30,14,0,2,67,0,0,5,1,51,3,47742000
Oct,2020,93,8,39,33,11,0,2,67,0,3,6,33,67,6552,96680000
Nov,2020,137,17,50,43,22,0,5,261,0,5,3,17,137,6,247876000
Dec,2020,93,16,31,23,18,1,4,81,0,5,1,14,152,50,87950500
Jan,2019,196,47,73,46,23,4,3,336,3,1,17,15,906,2,224601600
Feb,2019,257,49,103,65,26,11,3,220,10,4,12,45,299,7,244871450
Mar,2019,341,59,108,85,35,44,10,659,2,6,13,24,1261,1,391547900
April,2019,303,57,88,88,28,32,10,400,1,6,6,20,1220,320,390013100
May,2019,249,39,82,70,29,18,11,363,0,12,8,7,371,10340,585956400
June,2019,88,10,27,33,15,1,2,48,1,0,2,6,64,0,64348000
July,2019,80,13,22,33,12,0,0,58,0,0,3,13,27,4,107489300
Aug,2019,87,6,38,26,11,0,6,33,3,5,2,12,9,0,173935600
Sep,2019,83,14,24,25,16,0,4,52,0,1,1,34,104,0,186338400
Oct,2019,153,27,59,37,23,0,7,102,2,4,9,28,111,7,137890250
Nov,2019,128,18,43,45,19,0,3,362,0,1,5,8,1435,2,255836700
Dec,2019,190,49,67,46,24,3,1,354,2,12,1,14,552,4000,316624400
